PC1,PC2,PC3,PC4,PC5,Partner Name,Region,Cluster
-0.2111931104412582,-0.479722155531447,0.9344541902796026,-0.011053154888325896,-8.542469564740824e-17,Aruba,Other,0
-0.2536363678502982,-0.15101054076820952,1.9891777059341649,-0.04408670581056721,-2.178541288925582e-16,Afghanistan,Other,0
-0.2005071427281035,-0.7768476801250171,0.9283676164258554,-0.01241907177086932,-9.661090125307666e-17,Angola,Other,0
-0.24455216143784544,0.20481275378919098,1.282466216986892,-0.019895834503573583,-1.2852836718852501e-16,Anguila,Other,0
-0.2714002650428873,0.2863597762555277,2.0689275308978035,-0.04621045545232539,-2.1849695327604678e-16,Albania,Other,0
-0.23994521756330417,0.6844233222405688,0.6253982621214119,0.004732362380826718,-7.41382708341446e-17,Andorra,Other,2
-0.21285189957709702,-0.7146074632403439,1.2548003472135325,-0.022294045569926004,-1.3017904807879491e-16,Netherlands Antilles,Other,0
-0.22941691743597317,0.3997982699105057,0.3556513993517523,-0.02457714524724918,-3.779791407423662e-17,United Arab Emirates,Other,2
-0.22199233760928117,-0.12286168666294117,0.8913087771988146,-0.015631017001402587,-9.589564952561185e-17,Argentina,Other,0
-0.20123301954402215,-0.9285413392145945,1.095410690783082,-0.01830861669400946,-1.210242424774394e-16,Antigua and Barbuda,Other,0
-0.20847292666087155,1.2233296004940337,-0.7491795118956486,0.011974555735931904,7.284938555227851e-17,Australia,Other,2
-0.16176542372615715,0.3549433510135809,0.4337921439694564,0.0539342236077122,-4.9532545015618156e-17,Austria,Other,0
-0.20847665221421427,-0.9307482666446364,1.3304078852236505,-0.02665152178895291,-1.453205168644311e-16,Burundi,Other,0
-0.2387003399511572,1.7414515202649201,-0.5561980590957517,0.048873386020940435,5.546823741609291e-17,Benin,Other,2
-0.20289290262527893,-1.0189070716236497,1.2490037431873695,-0.023843432295676016,-1.3206076601465312e-16,Burkina Faso,Other,0
-0.25535295360255367,0.4019171610611705,1.5229120201648252,-0.02309264540182772,-1.5806185151196997e-16,Bangladesh,Other,2
-0.22818500805565134,0.745540294189912,0.32576539924049386,0.02090835107986098,-3.9790677598257294e-17,Bulgaria,Other,2
-0.2237095274045855,-0.5209362455820042,1.3936574977148757,-0.028023145356103278,-1.312745657236041e-16,Bahrain,Other,0
-0.22566317250146672,-0.4437050684196446,1.4152249988895713,-0.02497450960106109,-1.6164329314265996e-16,"Bahamas, The",Other,0
-0.1513853307492774,1.5483970330958499,-0.889759938535813,0.0791454371350008,7.393386246456777e-17,Belgium-Luxembourg,Other,2
-0.23922108585226923,0.14659574197397912,1.174776604449181,-0.016369985114317278,-1.211540867489516e-16,Belize,Other,0
-0.23929005567162984,0.09197343931502769,1.2287703648783386,-0.02102450049056406,-1.2709338583657135e-16,Bermuda,Other,0
-0.23396291709504147,-0.29427266374409206,1.4830873290295137,-0.028528681813936082,-1.5382336352219611e-16,Bolivia,Other,0
-0.2261941017727203,0.11219847026077723,0.5322738986769077,-0.03546115509572374,-5.074915891806325e-17,Brazil,Other,0
-0.20102211099699624,-0.8394182633735869,0.9970576600969707,-0.014407311916663319,-1.0875890062193344e-16,Barbados,Other,0
-0.2297586228049783,0.5310429883514078,0.3346452817259757,0.0023223063321390217,-4.0160757851285654e-17,Brunei,Other,2
-0.24120571712644234,0.4345242857102746,0.9267951662053996,-0.00690003528834589,-1.0464525862716102e-16,Bhutan,Other,2
-0.2020478988110817,-0.6612569506780119,0.8341341492671541,-0.008384944304223334,-9.91096934586057e-17,Central African Republic,Other,0
-0.20401872322993364,0.8007505282216154,-0.08652140848830522,0.008394059588201476,-1.3183911630144791e-17,Canada,North America,2
-0.18570300700439585,3.128117399119544,-3.7851262011985822,0.16315616009905226,3.8385592890233386e-16,Cocos (Keeling) Islands,Other,2
-0.15712833914527366,0.7278010478429809,-0.1280634328805266,0.06370999296711244,1.0134265765717481e-17,Switzerland,Other,2
-0.22215196939381268,-0.1795233371985452,0.9168859245267255,-0.01938390445938201,-1.1288186395952437e-16,Chile,Other,0
-0.19596005312638412,0.695284698554627,-0.10999287118564349,0.011584743261745396,4.510853442043922e-18,China,East Asia & Pacific,2
-0.2162448718695832,-0.32575654975688023,0.9202614169427962,-0.012231166866400963,-9.905649220173612e-17,Cote d'Ivoire,Other,0
-0.20844826163807434,-0.6698165457243073,1.055183690637814,-0.016439907051266942,-8.549636459044508e-17,Cameroon,Other,0
-0.196359306644433,-0.6329546893725341,0.6103586093844778,-0.001536542257846049,-6.704525904264212e-17,"Congo, Rep.",Other,0
-0.15947430521591494,-0.4440034039502298,-0.7880910052312823,0.04711924699554705,7.241234035364753e-17,Cook Islands,Other,0
-0.24244634057855416,-0.05092285011703516,1.5289359635167128,-0.03180939198438537,-1.6166762331729516e-16,Colombia,Other,0
-0.20486781741967763,-0.6778462595184233,0.9416609515253037,-0.012161224394342467,-1.0222734315307957e-16,Comoros,Other,0
-0.20807250981099504,-0.9058632878289297,1.2990560545739838,-0.02481248606672348,-1.4306096141506136e-16,Cape Verde,Other,0
-0.22610133347454336,-0.17839129438378093,1.091589188662853,-0.01622933504094072,-1.1733089025133073e-16,Costa Rica,Other,0
-0.22524389323775712,0.798766669175518,0.13442537791250034,0.020261368145783432,-2.810221299471187e-17,Czechoslovakia,Other,2
-0.22604883403516376,-0.1908513578212379,1.1242464091942157,-0.01625770741978421,-1.1730918966489778e-16,Cuba,Other,0
-0.15900791679619797,0.8708908837952686,-2.2216351477127243,0.1009149969636187,2.2076635993536781e-16,Christmas Island,Other,2
-0.20976860692378735,-0.48659388404244786,0.8973969863410816,-0.009777300100008877,-9.593889570202725e-17,Cayman Islands,Other,0
-0.24412939710674758,-0.057740677551758386,1.6541202874136862,-0.028958739259631768,-1.5393114314585404e-16,Cyprus,Other,0
-0.22140271013804907,0.4691010625348471,0.2647682424432424,0.008760347547718258,-3.4174337020703945e-17,German Democratic Republic,Other,2
-0.17764920083850785,1.1214959887079012,-0.4921786187698312,-0.04093657585532504,5.448351385464541e-17,Germany,Europe & Central Asia,2
-0.22129917815412428,-0.8173144523938353,1.6331704425140767,-0.03574362049385239,-1.5708416954228564e-16,Djibouti,Other,0
-0.21471057974509017,-0.4409740919748718,1.0074418081358694,-0.013355913344518276,-9.89949024230932e-17,Dominica,Other,0
-0.19746309181373609,-0.13193219231307868,0.7770629928694538,-0.0012030865498646728,-9.108414049293447e-17,Denmark,Other,0
-0.25727753565949235,0.4747999525875068,1.4268694040318348,-0.023000655794711538,-1.6528216439411336e-16,Dominican Republic,Other,2
-0.2148809636843962,-0.7221190682446849,1.3600335648626856,-0.029991841146629523,-1.5489232001202958e-16,Algeria,Other,0
-0.2215421566813716,-0.6486900143183838,1.4492463279970396,-0.03119926360885961,-1.4431706127148715e-16,Ecuador,Other,0
-0.2167969609964407,-0.3231893345024534,1.2358833727571101,-0.009580407972362781,-1.1729367943624086e-16,"Egypt, Arab Rep.",Other,0
